//Reference=MNI152		
		
//Garrett et al 2011, visual, letters, identity, 1 > 0 back, 1back; visual, letters, identity, 2 > 0 back, 2back		
//Subjects=19		
62.67	37.06	5.25
60.54	37.26	7.5
40.58	15.19	48.13
-43.58	-42.3	46.29
-43.65	-40.59	41.64
57.01	-31.24	55.8
47.33	-54.98	54.96
55.9	-27.09	54.29
-30.67	21.95	55.4
-60.2	22.44	27.84
-32.88	21.52	50.99
-60.21	22.33	26.73
48.97	51.62	35.42
46.76	49.07	31.22
40.55	12.75	45.01
56.53	18.8	28.45
3.83	25.91	49.93
3.87	23.99	52.37
15.99	86.68	-1.11
28.96	70.35	-4.2
62.6	57.37	4.36
58.31	57.56	6.65
60.33	71.84	-1.52
		
//Yan et al 2011, visual, shapes, location, 2>0back, 2back (first sample)		
//Subjects=28		
31.56	69.38	38.1
-35.43	69.02	39.05
-0.9	62.36	16.49
-40.83	6.84	43.62
3.32	-51.42	19.72
29.88	13.61	55.86
-1.81	-1.51	50.95
-18.75	11.95	5.2
49.41	3.79	34.76
27.12	64.34	-39.65
		
//Yan et al 2011, visual, shapes, location, 2>0back, 2back (second sample)		
//Subjects=28		
-30.66	70.21	40.09
3.52	-49.06	18.47
-45.91	2.16	34.08
4.67	64.35	13.28
38.04	58.8	35.9
16.59	79.86	36.2
34.44	16.54	50.23
-5.23	-1.46	53.92
		
//Gropman et al 2013, visual, letters, identity, 2>1back, 2back		
//Subjects=21		
41.79	-44.03	46.12
-14.27	-64.12	52.43
-36.06	-45.88	42.03
13.87	-61.48	56.17
-47.9	-42.32	46.36
-27.5	-66.14	31.56
-30.28	17.82	-0.23
1.61	19.96	43.84
-21.98	5.92	55.71
-46.07	24.17	34.15
-28.47	2.5	53.92
-18.31	4.35	4.26
-39.5	1.86	36.24
-39.57	3.57	31.59
-50.54	9.94	19.94
-3.58	6.19	57.61
25.59	9.59	57.9
47.84	30.47	27.44
38.15	36.17	31.53
45.8	25.87	35.78
41.64	6.27	44.51
52.31	7.5	34.12
42.27	47.81	17.98
-28.37	45.51	-14.21
-35.8	51.94	-2.39
30.21	22.39	-0.59
19.53	5.75	5.72
-49.64	-58.15	-8.07
35.2	-64.99	-51.42
33.42	-67.61	-22
41.95	-61.82	-29.44
-28.32	-63.55	-32.55
-29.53	-65.55	-42.42
61.62	-48.08	-9.84
16.29	5.74	5.77
9.72	5.09	-0.77
16.22	12.87	1.71
-16.01	2.1	14.53
-15.98	-2.05	16.06
-11.84	7.56	3.83
-16.05	6.15	11.89
-11.89	10.44	0.19
-11.73	-0.43	10.22
		
//Fernandez-Corcuera et al 2013, visual, letters, identity, 2>0back, 2back		
//Subjects=41		
-42	14	28
46	-44	44
		
//Derrfuss et al 2004, visual, letters, identity, 2>0back, 2back		
//Subjects=19		
-39.58	6.76	31.28
52.2	13.26	26.83
-2.63	18.33	49.67
-42.94	27.71	25.9
-28.39	6.42	61.38
-32.45	23.23	0.39
42.87	-40.73	46.9
-2.38	-58.55	53.92
-10.53	-23.62	14.74
		
//Kim et al 2006, visual, letters, identity, 2back>rest, 2back		
//Subjects=12		
-52.29	-29.68	44.06
-33.84	-47.59	46.64
-52.58	8.64	29.07
-40.81	27.51	23.64
-4.92	23.98	41.31
11.23	20.33	35.79
-1.45	10.35	56.05
-50.65	-67.52	-4.89
		
//Honey et al 1999, visual, letters, identity, 2>0back, 2back		
//Subjects=10		
-39.28	-51.21	42.61
36.39	-62.65	42.45
-44.92	8.33	36.82
38.88	49.95	6.62
-36.73	22.47	3.9
-1.57	14.94	47.75
-44.85	8.85	42.37
-41.45	-8.6	50.76
36.37	0.7	54.12
-42.07	-73.43	-11.17
19.53	-79.6	-11.61
-33.51	-71.79	-17.08
		
//Rodriguez-Jimenez et al 2009, auditory/visual, letters, identity, 2>0back, 2back		
//Subjects=13		
-1.48	13.44	54.62
-1.37	7.68	61.91
7.99	34.56	38.92
-53.57	8.19	35.86
-47.27	33.12	26.56
-43.94	10.79	28.71
-27.33	4.08	59.35
-24.2	-0.03	49.62
-43.61	-42.51	44.07
-27.31	-67.98	46.31
-27.37	-52.03	44.73
1.08	-54.03	-12.71
43.44	43.01	24.04
63.02	21.06	29.24
49.94	26.77	22.17
37.43	10.38	54.26
27.72	7.16	54.74
18.22	-63.38	58.52
47.31	-40.95	55.81
50.34	-32.61	41.49
		
//Carlson et al 1998, visual, shapes, location, 2>0back, 2back; visual, shapes, location, 1>0back, 1back; visual, shapes, location, 2>1back, 2back		
//Subjects=7		
42.43	29.28	26.53
-38.62	38.67	28.1
21.28	10.74	58.98
-23.16	21.56	50.82
3.91	17.71	54.11
-7.96	17.77	55.42
41.36	19.5	25.28
-45.11	22.18	24.24
37.69	59	0.14
-27.1	54.62	2.8
41.72	0.31	49.58
-45.93	1.19	40.9
5.2	-66.08	53.41
-2.4	-61.95	52.01
10.82	-53.45	73.36
-11.96	-59.68	65.4
33.24	-56.51	50.86
-35.91	-55.69	51.96
46	-49.2	36.48
-46.8	-51.99	46.18
28.73	-74.35	32.54
-22.12	-76.11	27.97
3.7	20.51	38.14
-1.64	17.72	42.99
8.13	-49.75	32.69
-3.84	-49.35	26.14
37.74	19.98	-3.84
-37.82	13.64	1.43
16.92	11.58	56.73
-32.66	3.52	65.1
-6.82	1.82	56.98
-40.25	36.75	-15.38
13.69	53.85	-19.11
-27.23	59.1	-6.61
4.16	-48.23	60.63
-5.54	-53.58	61.32
21.53	-62.85	64.02
-14.33	-61.24	48.78
-31.61	-56.94	49.77
-57.49	-40.25	57.53
30.52	-85.86	1.15
-13.61	-81.47	16.03
9.49	35.11	-12.7
-7.85	56.53	-12.29
-6.96	-61.61	33
44.41	39.95	14.24
-35.41	47.19	27.21
27.61	19.5	49.04
-26.37	14.1	51.62
13.66	17.95	56.16
-10.2	31.38	51.87
58.27	27.7	-2.72
-52.72	22.9	20.94
13.8	59.04	-9.54
-13	62.73	8.48
55.7	6.43	45.38
-37.13	-2	52.27
10.56	-58.72	51.47
-6.63	-55.82	60.44
27.92	-55.9	57.62
-18.47	-57.78	63.08
33.1	-55.32	40.66
-38.16	-58.55	44.44
47.12	-45.59	40.58
-44.72	-53.67	39.59
38.25	-79.06	16.03
-27.49	-80.28	29.6
6.67	34.92	19.86
-2.71	11.23	42.53
31.38	15.37	4.56
-46.54	15.22	-4.18
		
//Dima et al 2014, visual, letters, identity, 1>0back, 1back; visual, letters, identity, 2>0back, 2back; visual, letters, identity, 3>0back, 3back		
//Subjects=40		
46	-46	44
-44	-42	38
-46	32	30
52	36	30
32	6	62
40	-48	44
-36	-52	46
46	32	28
-42	8	28
8	18	48
-4	10	58
34	24	-2
30	8	58
50	-42	42
-48	-48	48
-48	26	30
48	40	30
-10	26	30
8	20	28
-34	22	0
-12	-10	6
-44	46	2
34	20	0
		
//Mendrek et al 2005, visual, letters, identity, 2>0back, 2back		
//Subjects=12		
-45.98	0.77	36.46
48.79	33.9	18.12
36.46	3.56	61.68
-42.09	54.43	13.16
44.54	-57.53	4.83
40.77	-66.57	46.13
-32.63	-70.67	52.27
-41.35	-49.43	50.31
-38.16	-66.65	-42.16
44.02	-70.2	-38.73
5.59	-14.3	10.18
-7.36	-18.6	10.83
